대림방면,문래/도림천방면,대림방면,문래/도림천방면
23:42,23:30,-,-
성수성수(외선),성수성수(내선),-,-
23:55막,23:37,-,-
성수성수(외선),성수성수,-,-
-,23:42,-,-
-,신도림까치산,-,-
-,23:44,-,-
-,성수성수(내선),-,-
-,23:53,-,-
-,성수성수,-,-
-,23:56,-,-
-,신도림까치산,-,-
00:10막,00:04막,-,-
성수성수,성수성수(내선),-,-
00:27막,0:10,-,-
성수삼성,신도림까치산,-,-
00:47막,0:14,-,-
성수서울대입구,성수성수,-,-
-,00:21막,-,-
-,성수성수,-,-
-,0:24,-,-
-,신도림까치산,-,-
-,00:37막,-,-
-,성수을지로입구,-,-
-,0:38,-,-
-,신도림까치산,-,-
-,00:49막,-,-
-,성수홍대입구,-,-
-,00:51막,-,-
-,신도림까치산,-,-
