"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20231101","3호선","동대입구","12037","13745","20231104",""
"20231101","3호선","약수","14252","13799","20231104",""
"20231101","3호선","압구정","32711","35218","20231104",""
"20231101","3호선","신사","29267","30488","20231104",""
"20231101","3호선","잠원","5810","5383","20231104",""
"20231101","3호선","고속터미널","42177","39104","20231104",""
"20231101","3호선","교대(법원.검찰청)","18323","11305","20231104",""
"20231101","3호선","남부터미널(예술의전당)","31358","32062","20231104",""
"20231101","3호선","양재(서초구청)","41298","45707","20231104",""
"20231101","3호선","매봉","14597","13985","20231104",""
"20231101","3호선","도곡","5642","5653","20231104",""
"20231101","3호선","대치","12672","12570","20231104",""
"20231101","3호선","학여울","2167","2152","20231104",""
"20231101","3호선","대청","12054","11362","20231104",""
"20231101","3호선","일원","12789","12493","20231104",""
"20231101","3호선","수서","19949","20244","20231104",""
"20231101","3호선","가락시장","9913","9691","20231104",""
"20231101","3호선","경찰병원","8507","8382","20231104",""
"20231101","3호선","오금","7307","6384","20231104",""
"20231101","4호선","당고개","10369","8943","20231104",""
"20231101","4호선","상계","21341","20208","20231104",""
"20231101","4호선","노원","20559","24137","20231104",""
"20231101","4호선","창동","27568","29069","20231104",""
"20231101","4호선","쌍문","31795","29608","20231104",""
"20231101","4호선","수유(강북구청)","36752","36888","20231104",""
"20231101","4호선","미아(서울사이버대학)","17162","16620","20231104",""
"20231101","4호선","미아사거리","28697","28207","20231104",""
"20231101","4호선","길음","24534","24889","20231104",""
"20231101","4호선","성신여대입구(돈암)","23494","22408","20231104",""
"20231101","4호선","한성대입구(삼선교)","16339","15869","20231104",""
"20231101","4호선","혜화","41012","41358","20231104",""
"20231101","4호선","동대문","21954","22425","20231104",""
"20231101","4호선","동대문역사문화공원(DDP)","20125","17684","20231104",""
"20231101","4호선","충무로","35747","36511","20231104",""
"20231101","4호선","명동","34236","36788","20231104",""
"20231101","4호선","회현(남대문시장)","28837","30098","20231104",""
"20231101","4호선","서울역","14194","21453","20231104",""
"20231101","4호선","숙대입구(갈월)","17176","16766","20231104",""
"20231101","4호선","삼각지","6368","7059","20231104",""
"20231101","4호선","신용산","19913","21463","20231104",""
"20231101","4호선","이촌(국립중앙박물관)","8750","9799","20231104",""
"20231101","4호선","동작(현충원)","1586","1685","20231104",""
"20231101","4호선","총신대입구(이수)","20607","22340","20231104",""
"20231101","4호선","사당","27346","24290","20231104",""
"20231101","4호선","남태령","1425","1269","20231104",""
"20231101","5호선","방화","7711","7349","20231104",""
"20231101","5호선","개화산","6746","6397","20231104",""
"20231101","5호선","김포공항","9353","7581","20231104",""
"20231101","5호선","송정","6795","6490","20231104",""
"20231101","5호선","마곡","13434","13700","20231104",""
"20231101","5호선","발산","24070","24882","20231104",""
"20231101","5호선","우장산","16539","16274","20231104",""
"20231101","5호선","화곡","31916","29943","20231104",""
"20231101","5호선","까치산","30737","29539","20231104",""
"20231101","5호선","신정(은행정)","15205","12656","20231104",""
"20231101","5호선","목동","18414","19985","20231104",""
"20231101","5호선","오목교(목동운동장앞)","22740","24282","20231104",""
"20231101","5호선","양평","8491","8274","20231104",""
"20231101","5호선","영등포구청","5251","5276","20231104",""
"20231101","5호선","영등포시장","11560","11855","20231104",""
"20231101","5호선","신길","5254","5329","20231104",""
"20231101","5호선","여의도","31615","33611","20231104",""
"20231101","5호선","여의나루","13856","15274","20231104",""
"20231101","5호선","마포","16266","16656","20231104",""
"20231101","5호선","공덕","16402","17258","20231104",""
"20231101","5호선","애오개","7674","7478","20231104",""
"20231101","5호선","충정로(경기대입구)","5371","5584","20231104",""
"20231101","5호선","서대문","24075","24283","20231104",""
"20231101","5호선","광화문(세종문화회관)","38204","40538","20231104",""
"20231101","5호선","종로3가","15098","14603","20231104",""
"20231101","5호선","을지로4가","7512","7319","20231104",""
"20231101","중앙선","양수","1946","1963","20231104",""
"20231101","5호선","동대문역사문화공원(DDP)","3439","3981","20231104",""
"20231101","5호선","청구","4408","4092","20231104",""
"20231101","5호선","신금호","7204","7648","20231104",""
"20231101","5호선","행당","9074","8112","20231104",""
"20231101","5호선","왕십리(성동구청)","4858","5440","20231104",""
"20231101","5호선","마장","6610","6126","20231104",""
"20231101","5호선","답십리","17588","15952","20231104",""
"20231101","5호선","장한평","21499","21225","20231104",""
"20231101","5호선","군자(능동)","12767","13966","20231104",""
"20231101","5호선","아차산(어린이대공원후문)","16018","15575","20231104",""
