"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20230701","2호선","사당","35168","40116","20230704",""
"20230701","2호선","방배","10825","11017","20230704",""
"20230701","2호선","서초","12283","10121","20230704",""
"20230701","2호선","교대(법원.검찰청)","16360","20707","20230704",""
"20230701","2호선","강남","62628","61540","20230704",""
"20230701","2호선","역삼","19910","22058","20230704",""
"20230701","2호선","선릉","27765","23688","20230704",""
"20230701","2호선","삼성(무역센터)","38743","37655","20230704",""
"20230701","2호선","종합운동장","38355","43665","20230704",""
"20230701","2호선","잠실새내","21577","23597","20230704",""
"20230701","2호선","잠실(송파구청)","78194","75090","20230704",""
"20230701","2호선","잠실나루","9126","8772","20230704",""
"20230701","2호선","강변(동서울터미널)","30125","29767","20230704",""
"20230701","2호선","구의(광진구청)","18481","17387","20230704",""
"20230701","2호선","건대입구","36122","40160","20230704",""
"20230701","2호선","성수","26745","30877","20230704",""
"20230701","2호선","뚝섬","16047","16538","20230704",""
"20230701","2호선","한양대","7961","8928","20230704",""
"20230701","2호선","왕십리(성동구청)","13813","12788","20230704",""
"20230701","2호선","상왕십리","10956","10146","20230704",""
"20230701","2호선","신당","12547","13219","20230704",""
"20230701","2호선","동대문역사문화공원(DDP)","14165","15993","20230704",""
"20230701","2호선","을지로4가","10395","10152","20230704",""
"20230701","2호선","을지로3가","21470","16638","20230704",""
"20230701","2호선","을지로입구","42339","43771","20230704",""
"20230701","2호선","시청","17946","15957","20230704",""
"20230701","1호선","동묘앞","12055","12156","20230704",""
"20230701","1호선","청량리(서울시립대입구)","19552","20199","20230704",""
"20230701","1호선","제기동","15912","16165","20230704",""
"20230701","1호선","신설동","10971","10455","20230704",""
"20230701","1호선","동대문","11565","11228","20230704",""
"20230701","1호선","종로5가","23386","23474","20230704",""
"20230701","1호선","종로3가","25734","24176","20230704",""
"20230701","1호선","종각","25682","23554","20230704",""
"20230701","1호선","시청","22671","24895","20230704",""
"20230701","1호선","서울역","47048","42810","20230704",""
"20230701","수인선","인하대","5277","5185","20230704",""
"20230701","수인선","숭의","3057","2712","20230704",""
"20230701","수인선","신포","1438","1537","20230704",""
"20230701","수인선","인천","1337","2123","20230704",""
"20230701","신림선","샛강","1213","1509","20230704",""
"20230701","신림선","대방","2338","1522","20230704",""
"20230701","신림선","서울지방병무청","2099","2212","20230704",""
"20230701","신림선","보라매","2646","2289","20230704",""
"20230701","신림선","보라매공원","1379","1473","20230704",""
"20230701","신림선","보라매병원","3287","3431","20230704",""
"20230701","신림선","당곡","3717","3333","20230704",""
"20230701","신림선","신림","1488","2279","20230704",""
"20230701","신림선","서원","2921","2351","20230704",""
"20230701","신림선","서울대벤처타운","8129","6972","20230704",""
"20230701","신림선","관악산(서울대)","4352","4384","20230704",""
"20230701","안산선","산본","14178","14968","20230704",""
"20230701","안산선","대야미","4423","3726","20230704",""
"20230701","안산선","반월","3500","3428","20230704",""
