"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20230201","2호선","낙성대(강감찬)","29187","28243","20230204",""
"20230201","2호선","서울대입구(관악구청)","49007","48259","20230204",""
"20230201","2호선","봉천","26118","24509","20230204",""
"20230201","2호선","신림","59650","57704","20230204",""
"20230201","2호선","신대방","26647","26197","20230204",""
"20230201","2호선","구로디지털단지","65381","65150","20230204",""
"20230201","2호선","대림(구로구청)","25376","25751","20230204",""
"20230201","2호선","신도림","52054","50854","20230204",""
"20230201","2호선","문래","24371","24977","20230204",""
"20230201","2호선","영등포구청","24287","24707","20230204",""
"20230201","2호선","당산","19352","23013","20230204",""
"20230201","2호선","합정","33673","36187","20230204",""
"20230201","수인선","호구포","4410","4534","20230204",""
"20230201","수인선","남동인더스파크","2429","2722","20230204",""
"20230201","수인선","원인재","4432","4564","20230204",""
"20230201","수인선","연수","4583","4508","20230204",""
"20230201","수인선","송도","2576","2405","20230204",""
"20230201","수인선","인하대","5926","5579","20230204",""
"20230201","수인선","숭의","4285","3988","20230204",""
"20230201","수인선","신포","1814","1824","20230204",""
"20230201","수인선","인천","961","1517","20230204",""
"20230201","신림선","샛강","2989","3561","20230204",""
"20230201","신림선","대방","2684","2300","20230204",""
"20230201","신림선","서울지방병무청","2951","3183","20230204",""
"20230201","신림선","보라매","3627","3396","20230204",""
"20230201","신림선","보라매공원","2007","2288","20230204",""
"20230201","신림선","보라매병원","7811","8157","20230204",""
"20230201","신림선","당곡","4624","4667","20230204",""
"20230201","신림선","신림","1696","2499","20230204",""
"20230201","신림선","서원","3827","3026","20230204",""
"20230201","신림선","서울대벤처타운","8842","8513","20230204",""
"20230201","신림선","관악산(서울대)","2378","2273","20230204",""
"20230201","안산선","산본","16822","18127","20230204",""
"20230201","안산선","대야미","5162","4632","20230204",""
"20230201","안산선","반월","4469","4268","20230204",""
"20230201","안산선","상록수","15565","16051","20230204",""
"20230201","안산선","한대앞","8839","8936","20230204",""
"20230201","안산선","중앙","18532","19396","20230204",""
"20230201","안산선","고잔","9356","8845","20230204",""
"20230201","안산선","초지","5007","5043","20230204",""
"20230201","안산선","안산","11999","10879","20230204",""
"20230201","안산선","신길온천","1830","1679","20230204",""
"20230201","안산선","정왕","7930","8359","20230204",""
"20230201","안산선","오이도","8068","7934","20230204",""
"20230201","안산선","수리산","4197","3524","20230204",""
"20230201","우이신설선","북한산우이","2613","2353","20230204",""
"20230201","우이신설선","솔밭공원","2723","2561","20230204",""
"20230201","우이신설선","4.19민주묘지","3036","2755","20230204",""
"20230201","우이신설선","가오리","4475","4429","20230204",""
"20230201","우이신설선","화계","3725","3488","20230204",""
"20230201","우이신설선","북한산보국문","6335","5963","20230204",""
"20230201","우이신설선","성신여대입구(돈암)","3569","4041","20230204",""
"20230201","우이신설선","보문","1563","1620","20230204",""
"20230201","우이신설선","신설동","2430","2400","20230204",""
"20230201","일산선","원흥","12252","11708","20230204",""
"20230201","일산선","삼송","20579","20033","20230204",""
"20230201","일산선","원당","11628","10914","20230204",""
"20230201","일산선","화정","18042","18442","20230204",""
"20230201","일산선","대곡","2123","1650","20230204",""
"20230201","일산선","백석","10048","10197","20230204",""
"20230201","일산선","마두","8178","8322","20230204",""
