9:40,9:35,10:16,10:17,,
광운대서동탄,인천양주,광운대신창,천안광운대,,
9:47,9:39,10:21,10:23,,
소요산인천,서동탄광운대,양주인천,인천양주,,
9:51,9:43,10:25,10:29,,
청량리신창,인천동묘앞,청량리서동탄,서동탄광운대,,
9:56,9:50,10:32,10:33,,
광운대서동탄,인천연천,광운대신창,인천동두천,,
-,9:55,10:37,10:38,,
-,서동탄청량리,동두천인천,신창청량리,,
-,9:59,10:42급,10:42,,
-,인천의정부,청량리천안,인천양주,,
10:01,10:03,10:45,10:45,,
의정부인천,천안광운대,광운대인천,천안광운대,,
10:06,10:09급,10:50,10:49,,
청량리천안,신창청량리,광운대서동탄,인천연천,,
10:10,10:13,10:55,10:54,,
연천인천,인천소요산,소요산인천,서동탄광운대,,
10:19,10:17,10:59,10:58,,
광운대신창,천안광운대,광운대구로,인천의정부,,
10:23,10:22,11:04,11:03,,
동두천인천,인천양주,양주인천,천안광운대,,
10:29,10:31급,11:08급,11:08급,,
청량리서동탄,인천동두천,청량리천안,천안청량리,,
10:33,10:35,11:11,11:12,,
동두천인천,서동탄청량리,광운대신창,인천광운대,,
10:37,10:39,11:15,11:16,,
양주구로,인천양주,연천인천,병점광운대,,
10:41급,10:44,11:21,11:20,,
청량리천안,신창광운대,광운대서동탄,신창청량리,,
10:45,10:49,11:25,11:23,,
의정부인천,인천연천,동두천인천,인천양주,,
10:51,10:54,11:29,11:26,,
광운대서동탄,서동탄광운대,광운대신창,서동탄광운대,,
10:55,-,11:34,11:30급,,
양주서울역,-,의정부인천,천안청량리,,
11:00,11:00,11:38급,11:35,,
광운대신창,인천의정부,청량리천안,인천동두천,,
11:06,11:03급,11:41,11:38,,
연천인천,천안청량리,광운대천안,천안광운대,,
11:10급,11:08,11:46,11:43,,
청량리신창,부평소요산,양주인천,인천양주,,
11:14,11:14,11:50,11:48,,
청량리서동탄,인천양주,청량리서동탄,서동탄광운대,,
11:19,11:20,11:54,11:53급,,
동두천인천,신창광운대,소요산인천,천안청량리,,
11:25급,11:23,11:59급,11:58,,
동두천인천,구로의정부,청량리천안,인천연천,,
11:30,11:28급,12:02,12:04,,
광운대병점,신창청량리,광운대신창,신창광운대,,
11:34,11:32,12:07,12:08,,
의정부인천,인천양주,연천인천,인천소요산,,
11:38급,11:36,12:11,12:13,,
청량리신창,서동탄광운대,광운대서동탄,서동탄광운대,,
11:42,11:40,12:15,12:17,,
광운대신창,천안청량리,양주인천,인천양주,,
11:45,11:44급,12:20,12:21,,
양주인천,인천동두천,광운대천안,천안광운대,,
11:49,11:48,12:24,12:25,,
광운대서동탄,서동탄광운대,동두천인천,인천의정부,,
11:55,11:52,12:29급,12:29급,,
소요산인천,인천연천,청량리천안,천안청량리,,
11:58급,11:56급,12:34,12:37,,
청량리천안,천안청량리,의정부인천,인천동두천,,
12:04,12:01,12:38,12:41,,
연천인천,인천의정부,광운대신창,천안광운대,,
12:12,12:05,12:44,12:46,,
청량리서동탄,천안광운대,양주인천,인천양주,,
12:15,12:09,12:49,12:50,,
양주인천,인천소요산,광운대서동탄,서동탄광운대,,
12:21,12:14,12:53,12:54,,
광운대천안,서동탄광운대,소요산인천,인천연천,,
12:26급,12:18,12:59,12:57,,
동두천인천,인천양주,광운대신창,신창광운대,,
12:31급,12:22,13:04,13:02급,,
청량리천안,신창광운대,연천인천,천안청량리,,
12:36,12:25,13:09급,13:09,,
의정부인천,인천의정부,청량리천안,인천소요산,,
12:40,12:31급,13:12,13:13,,
광운대천안,신창청량리,광운대서동탄,천안광운대,,
12:44,12:36급,13:16,13:20,,
양주인천,인천동두천,양주인천,인천양주,,
12:48,12:40,13:21,13:25,,
광운대서동탄,천안광운대,광운대천안,서동탄광운대,,
12:54,12:46,13:26,13:29,,
소요산인천,인천양주,동두천인천,인천의정부,,
12:59,12:51,13:32급,13:33급,,
광운대천안,서동탄광운대,청량리천안,천안청량리,,
-,12:58,13:36,13:39,,
-,인천연천,광운대병점,인천동두천,,
13:04,13:03,13:40,13:42,,
양주인천,서동탄광운대,양주인천,신창광운대,,
13:09급,13:09,13:43,13:48,,
청량리신창,인천양주,광운대서동탄,인천양주,,
13:12,13:14,13:48,13:52,,
